common_voice_pt_25186415|Eu fui a sua casa uma centena de vezes.
common_voice_pt_25186416|Parecia um desesperado que finalmente encontrou seus meios de salvação.
common_voice_pt_25186417|Quando me formei no ensino médio
common_voice_pt_25186418|Alexsandro, Jordana, Janderson, Jeovana e Higor
common_voice_pt_25186419|Uma mulher está falando no celular dela lá fora
common_voice_pt_25186440|quantas vezes teremos que repetir as mesmas frases para as aprenderes correctamente
common_voice_pt_25186441|Esse é o senso de honra
common_voice_pt_25186443|Ele é advogado do comando vermelho.
common_voice_pt_25186446|A mulher assina acima em uma tabela durante uma reunião da sociedade do chapéu.
common_voice_pt_25186448|Pedro fechou sua conta do Bradesco.
common_voice_pt_25186463|O Pedro e a Betânia se conheceram no carnaval de Salvador.
common_voice_pt_25186464|Codó
common_voice_pt_25186466|O maquinista prendeu uma mulher que havia evitado a passagem.
common_voice_pt_25186469|Não havia absolutamente nenhuma razão para ela anunciar para toda a empresa.
common_voice_pt_25186471|Luiz pegou a senha do Marcos.
common_voice_pt_25186481|Carmelio Braga Bandeira
common_voice_pt_25186482|Confirme também o ônibus
common_voice_pt_25186483|Eles são gêmeos ou apenas irmãos normais?
common_voice_pt_25186484|Auricelio Soares da Silva
common_voice_pt_25186493|Layla, Rafaeli, Gabrielli, Kauana e Laisla
common_voice_pt_25186495|Aurea Soares de Oliveira
common_voice_pt_25186498|Quantos quilos?
common_voice_pt_25186500|Antônio Romario Souza do Vale
common_voice_pt_25186502|Sua carteira estava cheia de dólares
common_voice_pt_25186511|A caixa foi jogada ao lado do caminhão estacionado.
common_voice_pt_25186512|O santo se chamava Antônio José de Souza.
common_voice_pt_25186513|Pessoa com dois bastões de esqui que esquiam abaixo uma colina nevada
common_voice_pt_25186514|Não achei isso em nenhum site
common_voice_pt_25186519|Zuleide da Silva Nogueira
common_voice_pt_25186521|Participar ativamente de reuniões de bairro
common_voice_pt_25186523|Este robô substitui o antigo e aumenta os benefícios.
common_voice_pt_25186524|Bruno Gomes da Silva
common_voice_pt_25186525|Ela vai perder a cabeça quando descobrir.
common_voice_pt_25186528|Alecio Barreto da Silva
common_voice_pt_25186529|Itaquaquecetuba
common_voice_pt_25186534|Você conhece alguém aqui que cura as doenças das pessoas?, Perguntou o garoto.
common_voice_pt_25186536|Benedito Caetano dos Santos
common_voice_pt_25186538|O Fábio usou milhas da Gol.
common_voice_pt_25186544|Agora ele era um homem
common_voice_pt_25186545|O perito entregou seu laudo em uma semana.
common_voice_pt_25186547|Apenas chorando
common_voice_pt_25186548|Eles não são meus filhos.
common_voice_pt_25186549|O Francisco voou com pontos da American Airlines.
common_voice_pt_25186554|Alzenira Araújo da Silva
common_voice_pt_25186555|O eixo norte estava congestionado.
common_voice_pt_25186556|Atualmente em arbitragem
