common_voice_pt_32243608|Aguiar
common_voice_pt_32243609|Pelo amor de Deus!
common_voice_pt_32243611|Se ponho o caldeirão a fazer de vaso, onde cozinho eu depois?
common_voice_pt_32243612|Se você soubesse como eu tenho andado, por sua causa.
common_voice_pt_32243614|Bravo! Formidável!
common_voice_pt_32243708|A maldade que dobra na amizade é dobrada.
common_voice_pt_32243709|Isso ganharia em qualidade.
common_voice_pt_32243710|Amigo da mesa, pouca confiança.
common_voice_pt_32243711|Anajatuba
common_voice_pt_32243712|Escutara o clamor da base eleitoral
common_voice_pt_32243718|Se a barriga não for feliz, todo o corpo vai mal.
common_voice_pt_32243719|Nova Guarita
common_voice_pt_32243720|Foi consultar o livro de feitiços
common_voice_pt_32243721|Mudam-se os tempos, mudam-se as vontades. Poesia de Luís de Camões
common_voice_pt_32243722|Jaicós
common_voice_pt_32243728|Brilhou no céu da Pátria nesse instante
common_voice_pt_32243729|Santo Antônio dos Milagres
common_voice_pt_32243730|Sonetos foi uma de suas obras primas
common_voice_pt_32243731|embebo meus olhos e ouvidos nas cores e nos sons da paisagem
common_voice_pt_32243732|Paraibuna
common_voice_pt_32243739|Cascalho Rico
common_voice_pt_32243740|O bom pescador obtém o melhor e o melhor.
common_voice_pt_32243742|Por favor, vá para outro cobertor, por favor?
common_voice_pt_32243744|Dê dinheiro para amigos, se você quiser ter inimigos.
common_voice_pt_32243745|Esse é exatamente o caso.
common_voice_pt_32243778|Apoio à política é irrenunciável e inegociável
common_voice_pt_32243779|Chamou-o de criminoso de guerra
common_voice_pt_32243780|Para estancar a sangria
common_voice_pt_32243781|Sete focas estavam na folha grande.
common_voice_pt_32243782|Itapejara d'Oeste
common_voice_pt_32243793|Teus risonhos, lindos campos têm mais flores
common_voice_pt_32243794|A cena da neve no caminho é uma obrigação
common_voice_pt_32243795|Mas eles querem que usemos um dispositivo mais alto que alto.
common_voice_pt_32243797|Levantai hoje de novo o esplendor de Portugal!
common_voice_pt_32243798|Juntos, o aplicativo de voz
common_voice_pt_32243813|Uma trilha de águia aparece no Daan Forest Park
common_voice_pt_32243814|Caculé
common_voice_pt_32243815|Rio Paranaíba
common_voice_pt_32243816|O presidente encontrou os pastores suspeitos de cobrarem propina
common_voice_pt_32243817|Derrubadas
common_voice_pt_32243849|Rio dos Índios
common_voice_pt_32243850|Senti um gosto de queimado
common_voice_pt_32243852|Suspeitando de que seu pai tenha uma relação extraconjugal com uma moça bem noninha
common_voice_pt_32243853|Tabocas do Brejo Velho
common_voice_pt_32243854|Pesquisa de opinião
common_voice_pt_32243881|Você estendeu o sal para mim, por favor?
common_voice_pt_32243882|Deputado diz que tornozeleira pode ter escuta
common_voice_pt_32243883|Cardiff joga contra o Wrexham.
common_voice_pt_32243885|Teixeira
common_voice_pt_32243896|Quem vem primeiro, a primeira refeição.
common_voice_pt_32243897|Wenceslau Guimarães
common_voice_pt_32243898|Traga todas as fichas e aposte em nossa mesa
common_voice_pt_32243899|Pede ratificação da medida cautelar
common_voice_pt_32243900|Foi um processo como outro; Apenas a qualidade dos litigantes diferia.
common_voice_pt_32382327|Forno, fogão, cooktop
common_voice_pt_32382328|Quanto tempo o próximo ônibus passará?
common_voice_pt_32382329|Elisiário
common_voice_pt_32382330|Tramandaí
common_voice_pt_32382331|Deputado Irapuan Pinheiro
common_voice_pt_32382346|Santo Cristo
common_voice_pt_32382347|Meia hora não haverá tempo para o pessoal assistido.
common_voice_pt_32382348|Você sabe onde fica
common_voice_pt_32382349|Entre as causas das desgraças humanas estão o orgulho e o egoísmo
common_voice_pt_32382350|No bolo de madeira, procure a vez.
common_voice_pt_32382363|Cornélio Procópio
common_voice_pt_32382364|Gararu
