common_voice_pt_30442195|E isso era verdade.
common_voice_pt_30442197|Novembro, no meio do outono, vale a pena invocar horas de companhia agradável.
common_voice_pt_30442198|Vertentes
common_voice_pt_30442199|Floresta do Piauí
common_voice_pt_30442200|Panorama
common_voice_pt_30442201|Tamandaré
common_voice_pt_30442202|Você o que quer é um capote; ande, vá buscar o gamão.
common_voice_pt_30442203|Mathias Lobato
common_voice_pt_30442204|Cascú é um casco.
common_voice_pt_30442205|Força natural da maioria nas democracias.
common_voice_pt_30445453|Cristalina
common_voice_pt_30445454|Agora você pode usar o novo tradutor da Softcatalà.
common_voice_pt_30445455|Cristalândia do Piauí
common_voice_pt_30445456|Ainda estamos no tempo quando é livre.
common_voice_pt_30445527|Eu quero perguntar sobre o antílope.
common_voice_pt_30445528|Placas solares para captação
common_voice_pt_30445530|Apuiarés
common_voice_pt_30445531|Supervisionar os relatórios solicitados pelos tribunais.
common_voice_pt_30445547|Aos dezenove anos, Bach escreveu um artigo em seis movimentos descritivos.
common_voice_pt_30445548|Se a pergunta for justa, você também terá uma resposta honesta!
common_voice_pt_30445551|Onde há galos, não há galinhas.
common_voice_pt_30445552|Lajinha
