common_voice_pt_30618434|O amor mede todas as desigualdades.
common_voice_pt_30618435|Quem vai com um lobo, aprende a ter pena.
common_voice_pt_30618436|Quem prega a verdade, ele volta para casa com uma contusão.
common_voice_pt_30618437|Mirante do Paranapanema
common_voice_pt_30618438|São Sebastião do Rio Preto
common_voice_pt_30618462|Guarinos
common_voice_pt_30618464|É verdade que pendurar agora parece divertido.
common_voice_pt_30618466|Atendo a tudo sonhando sempre
common_voice_pt_30618467|Uma linguagem tóxica é mais perigosa que uma cobra tóxica.
common_voice_pt_30618468|É bom ouvir a guerra, mas é difícil assistir.
common_voice_pt_30618498|Barbosa
common_voice_pt_30618500|Na chuva, a árvore floresce, não dá frutos.
common_voice_pt_30618501|Turmalina
common_voice_pt_30618502|Eu estava equipado com um bom casaco, luvas, shorts e shorts.
common_voice_pt_30618503|Sananduva
common_voice_pt_30618584|Trovão da lua nova, todo molhado.
common_voice_pt_30618585|Itatiaia
common_voice_pt_30618586|São Miguel dos Milagres
common_voice_pt_30618587|Com qualquer um
common_voice_pt_30618588|Eu olhei para ele dos meus olhos.
