common_voice_pt_30411540|Arroio do Padre
common_voice_pt_30411541|Correntes
common_voice_pt_30411542|Oeiras
common_voice_pt_30411543|Você ouviu o que?
common_voice_pt_30411544|Este último atuará como secretário.
common_voice_pt_30411545|Mulher de janela, não fará tecido longo.
common_voice_pt_30411546|Da mesma forma, a documentação está completa e os vários relatórios obrigatórios foram solicitados.
common_voice_pt_30411547|Landri Sales
common_voice_pt_30411548|Santa Izabel do Oeste
common_voice_pt_30411549|Janeiro e fevereiro comem mais do que o mundo inteiro.
common_voice_pt_30411550|e veio para o Rio de Janeiro com a família
common_voice_pt_30411551|Ele errou
common_voice_pt_30411552|Infante é um título de nobreza, abaixo de príncipe
common_voice_pt_30411553|Antônio Cardoso
common_voice_pt_30411554|A água do mar é remédio.
common_voice_pt_30411555|Marilândia
common_voice_pt_30411556|O pequeno peixe da lua morta carrega.
common_voice_pt_30411557|Jundiaí do Sul
common_voice_pt_30411558|Porque ele tem graça, eu decido atirar neles.
common_voice_pt_30411559|Olivera plantou em novembro, nunca mentindo.
common_voice_pt_30411560|O comboio da vergonha levou o coronavírus até a Assembleia Geral
common_voice_pt_30411561|Campo Alegre de Lourdes
common_voice_pt_30411562|Uruaçu
common_voice_pt_30411563|Venha para Hokkaido por duas semanas
common_voice_pt_30411564|Cinco horas da manhã e nenhum sinal dela.
common_voice_pt_30411565|Iturama
common_voice_pt_30411566|Pains
common_voice_pt_30411567|Eu segui ele.
common_voice_pt_30411568|Na casa da irmã, apenas uma vez por semana.
common_voice_pt_30411569|Tudo isso assombrou o Garcia.
