common_voice_pt_34567100|Tapes
common_voice_pt_34567101|Quem não provou um tímido, não sabe doce.
common_voice_pt_34567104|Quis fazer uma tatuagem no braço
common_voice_pt_34567105|Hoje, a temperatura será maior entre noventa e quatro e onze graus Celsius.
common_voice_pt_34567218|Como diferentes pessoas e crenças adoram?
common_voice_pt_34567220|A luz do sol iluminou o céu do leste.
common_voice_pt_34567221|Piratuba
common_voice_pt_34567223|A irrelevância da atitude ficou evidente
common_voice_pt_34567224|Vendas do comércio varejista têm variação positiva
common_voice_pt_34567306|Você não vê os belos e os cegos verem aonde ir juntos.
common_voice_pt_34567307|Dom Pedro
common_voice_pt_34567308|todos têm direito a receber dos órgãos públicos informações de seu interesse particular
common_voice_pt_34567310|São Geraldo do Baixio
common_voice_pt_34567312|Reagindo aos conselhos financeiros da Alexa
common_voice_pt_34567403|Piau
common_voice_pt_34567405|Ela é vinte minutos para dois.
common_voice_pt_34567406|Tamboara
common_voice_pt_34567408|A língua é viva e progride no tempo
common_voice_pt_34567409|Nortelândia
common_voice_pt_34567470|Jenipapo dos Vieiras
common_voice_pt_34567471|Arez
common_voice_pt_34567472|Rãs cuspem nas abelhas.
common_voice_pt_34567473|Silencioso
common_voice_pt_34567474|Há provas do delito em vídeo e áudio
common_voice_pt_34567911|Cristino Castro
common_voice_pt_34567914|Olhos felizes eles veem, uma mão infeliz que esfrega isto.
common_voice_pt_34567918|Getulina
common_voice_pt_34567920|Muitas carícias para o Carnaval, mas ainda há mais o resto do ano.
common_voice_pt_34567924|Piratininga
common_voice_pt_34568013|A intenção era levar a narrativa de que "seria uma briga de bar"
common_voice_pt_34568017|E foi tão bom!
common_voice_pt_34568019|A seção subterrânea não é exposta a agentes externos, portanto sua degradação é menor.
common_voice_pt_34568021|todos podem reunir-se pacificamente, sem armas, em locais abertos ao público
common_voice_pt_34568024|Em agosto, o pasto e o mês de setembro amadurecem.
common_voice_pt_34568078|Santa Helena
common_voice_pt_34568079|Lutador de capoeira
common_voice_pt_34568081|Não houve consternação ou pêsames
common_voice_pt_34568083|Imparcialidade, civilidade e boa-fé
common_voice_pt_34568084|Você deve ouvir o concerto de louvor que sempre te rodeia!
common_voice_pt_34568141|Auto da Compadecida, do dramaturgo e romancista brasileiro Ariano Suassuna
common_voice_pt_34568142|A cabeça, sem nada para lidar, tende a evaporar.
common_voice_pt_34568143|Pedra Grande
common_voice_pt_34568144|O que vai antes, vai em frente.
common_voice_pt_34568145|E é isso que estamos fazendo.
common_voice_pt_34568299|Alhandra
common_voice_pt_34568300|Pavussu
common_voice_pt_34568301|Compre casa para viver e campo que você pode arar.
common_voice_pt_34568303|Santa Rosa do Purus
common_voice_pt_34568304|A resignação é um atributo que pode ser desenvolvido
common_voice_pt_34568381|Andaraí
common_voice_pt_34568383|A cabeça se rompe mais rápido que as pernas.
common_voice_pt_34568386|Morreu de susto
common_voice_pt_34568389|Itororó
common_voice_pt_34568391|De qualquer forma, agimos com cautela, o que também agradecemos ao governo.
common_voice_pt_34629144|Ibiara
common_voice_pt_34629150|Quem são os leviatãs?
common_voice_pt_34629152|Um cavalo doado não é visto nos dentes.
common_voice_pt_34629155|A pedra que cai não pára no final do declive.
common_voice_pt_34629157|Veredinha
common_voice_pt_34629249|Barra Velha
common_voice_pt_34629250|Não foi necessário.
common_voice_pt_34629252|Se marido e mulher falam com os pais, a dança é ruim.
common_voice_pt_34629254|Garcia pôde então observar que a dedicação ao ferido da rua D.
common_voice_pt_34629256|Mulher que canta, não olhe para o rosto dela.
common_voice_pt_34629335|Natércia
common_voice_pt_34629336|Para obter a documentação, foi um processo bem burocrático
common_voice_pt_34629337|O frio de outubro mata a lagarta.
common_voice_pt_34629338|Bom Jardim da Serra
common_voice_pt_34629341|Mutunópolis
common_voice_pt_34629394|Quando a pomba termina, a pomba morre.
common_voice_pt_34629399|Ela optou por fugir, e correu com pressa
common_voice_pt_34629402|Você ainda vai comer a coisa toda?
common_voice_pt_34629405|Buritama
common_voice_pt_34629536|Todos eles não se dirigiram.
common_voice_pt_34629538|Elisiário
common_voice_pt_34629539|Oh, nariz, quando você vai ser vinhedo!
common_voice_pt_34629543|Todos em sua casa sabem onde o cresol está pendurado.
common_voice_pt_34629544|Conciliação dos antagônicos
common_voice_pt_34629616|Severiano de Almeida
common_voice_pt_34629617|Quando vários jogadores tiverem cor, ganhe quem tiver o cartão de maior valor.
common_voice_pt_34629618|Riacho da Cruz
common_voice_pt_34629619|Aroeiras
common_voice_pt_34629620|Bicas
common_voice_pt_34629685|Processos administrativos da prefeitura
common_voice_pt_34629686|A nevasca que acometeu o sul do Brasil na noite passada
common_voice_pt_34629687|Eu a vi ao longe
common_voice_pt_34629688|Luciara
common_voice_pt_34629762|Nenhuma bebida de amor não excede o dinheiro.
common_voice_pt_34629763|No próximo final de semana será feriado.
common_voice_pt_34629764|O volume é, se não o fizer, semelhante.
