common_voice_pt_38517364|A rico n
common_voice_pt_38517365|Ele deve estar zoando
common_voice_pt_38517366|A supremacia do centralismo democrático
common_voice_pt_38517371|Quero uma paçoca
common_voice_pt_38517372|Cebuano, servo-croata, malgaxe, nepalês, cingalês, turcomano, assamês, madurês
common_voice_pt_38517373|Veremos o show dele hoje à noite e iremos embora pela manhã.
common_voice_pt_38517374|De manhã cedo, fui até ao Cais do Sodré e entrei no cacilheiro.
common_voice_pt_38517375|Aumente o som para trinta porcento.
common_voice_pt_38517376|Partido de novo tipo
common_voice_pt_38517377|Sinto que estou prestes a ter um ataque cardíaco
common_voice_pt_38517378|Meu nome é Eduardo.
common_voice_pt_38517391|Usou drones caseiros com bombas caseiras
common_voice_pt_38517393|Ela acredita em wicca, astrologia e horóscopo
common_voice_pt_38517394|Minha chave pix
common_voice_pt_38517396|Polaco-lituana, Moscóvia, mongóis-tártaras, incursões, Demétrio, Tuéria
common_voice_pt_38517404|Comprei um vestido cor-de-rosa na loja para a minha menina.
common_voice_pt_38517405|Quero dois pães de queijo
common_voice_pt_38517418|Existem coisas, sentimentos, que não podemos exprimir por palavras, por isso não posso explicar.
common_voice_pt_38517419|Os jovens de hoje em dia são uns malandros.
common_voice_pt_38517421|Viquingues suecos, varegues, Rus
common_voice_pt_38517422|Bom, por enquanto está tudo tranquilo, nada de novo no front.
common_voice_pt_38517433|Vou deitar o cabelo
common_voice_pt_38517434|Quando a esmola
common_voice_pt_38517437|Vedações das especificidades de tramitação
common_voice_pt_38517441|O que é possível diante de um caos tão insignificante?
