common_voice_pt_30605305|Água Limpa
common_voice_pt_30605306|Lamim
common_voice_pt_30605307|À noite, tudo cobre isso.
common_voice_pt_30605308|Você quer um?
common_voice_pt_30605309|Pardinho
common_voice_pt_30605325|Itaguaru
common_voice_pt_30605326|Conceição da Feira
common_voice_pt_30605327|Coxim
common_voice_pt_30605328|O mito fundador de Brasília remonta ao antigo Egito
common_voice_pt_30605329|Nova Maringá
common_voice_pt_30605421|Saudações de viajantes e, em seguida, não fazem nada além de conversar com Teuladins.
common_voice_pt_30605422|Só achei que daria uma história interessante e convincente
common_voice_pt_30605423|Várzea Branca
common_voice_pt_30605425|Cafezal do Sul
common_voice_pt_30605426|Monteirópolis
common_voice_pt_30605427|Paraúna
common_voice_pt_30605428|A casa estava silenciosa.
common_voice_pt_30605429|Quem está descalço não o incomoda com os sapatos.
common_voice_pt_30605433|Caranaíba
common_voice_pt_30605434|Alvorada d'Oeste
common_voice_pt_30605435|Você vai me enviar aquele livro que eu deixei em sua casa?
common_voice_pt_30605436|Lá fizemos a vida, grande e pequena.
common_voice_pt_30605440|Eu continuo com o trabalho sem tirar férias no Natal.
common_voice_pt_30605441|Itatiba do Sul
common_voice_pt_30605442|Vianópolis
common_voice_pt_30605443|Um não pode ser mostrado sem desonra.
common_voice_pt_30605444|Rio Bananal
common_voice_pt_30605455|Jateí
common_voice_pt_30605456|Entre Rios de Minas
common_voice_pt_30605457|Luminárias
common_voice_pt_30605459|Roque Gonzales
