common_voice_pt_34942996|Ao invés de sair, resolvemos ficar em casa.
common_voice_pt_34942997|Gozando de saúde, amor e alegria
common_voice_pt_34942998|Cacimba de Areia
common_voice_pt_34942999|Na parte centro-sul da atual província de Hainan.
common_voice_pt_34943000|Itiruçu
common_voice_pt_34943006|Quente, para muitos, e sorvete, para o gato.
common_voice_pt_34943007|A exposição foi vista como inapropriada para idades tão tenras
common_voice_pt_34943008|Major Gercino
common_voice_pt_34943009|Malhada dos Bois
common_voice_pt_34943010|Maurilândia
common_voice_pt_34943016|Rio Rufino
common_voice_pt_34943018|Macajuba
common_voice_pt_34943019|Lagoa do Piauí
common_voice_pt_34943020|Ibiá
common_voice_pt_34943026|Palavras deliciosas funcionam melhor que afiadas.
common_voice_pt_34943027|Pinheiro Preto
common_voice_pt_34943028|Guajará-Mirim
common_voice_pt_34943029|Marmeleiro
common_voice_pt_34943030|Urussanga
common_voice_pt_34943061|Itatim
common_voice_pt_34943062|Cordisburgo
common_voice_pt_34943063|Planaltina do Paraná
common_voice_pt_34943064|São Sebastião do Maranhão
common_voice_pt_34943065|Itagimirim
common_voice_pt_34943146|Eram amigos deveras.
common_voice_pt_34943147|Teofilândia
common_voice_pt_34943148|Faxinal do Soturno
common_voice_pt_34943150|Agora está cortado, parece que há obras.
common_voice_pt_34943153|Mato Verde
common_voice_pt_34943155|Lastro
common_voice_pt_34943156|Remanso
common_voice_pt_34943157|Punição por desacato a servidor público
common_voice_pt_34943158|Batalha
common_voice_pt_34943161|Ipiranga do Norte
common_voice_pt_34943162|Lagoa do Barro do Piauí
common_voice_pt_34943163|Não há abril sem picos.
common_voice_pt_34943164|Tentará desvincular sua imagem do episódio
common_voice_pt_34943165|Uruaçu
common_voice_pt_34943171|Esperantinópolis
common_voice_pt_34943172|Curral de Cima
common_voice_pt_34943173|A garota estava vestindo calças lindas.
common_voice_pt_34943174|Amontada
common_voice_pt_34943175|Fontoura Xavier
common_voice_pt_34943181|Bagre
common_voice_pt_34943182|Santana da Ponte Pensa
common_voice_pt_34943183|Observe e aquiete-se
common_voice_pt_34943184|A força predominante reside apenas na constituição.
common_voice_pt_34943185|Santa Rita do Pardo
common_voice_pt_34943189|O galo estava na frente do ovo.
common_voice_pt_34943191|Inhapim
common_voice_pt_34943192|Porta da água da lua morta.
common_voice_pt_34943194|Eu estava
common_voice_pt_34943195|Mário Campos
common_voice_pt_34943196|o direito de matrícula no sistema regular de ensino.
common_voice_pt_34943197|Boraceia
common_voice_pt_34943198|Torres
common_voice_pt_34943199|O menino abraçou seu cordeiro.
common_voice_pt_34943201|Garopaba
common_voice_pt_34943206|Casa sem fogo e sem mulher, corpo sem alma.
common_voice_pt_34943207|Tucunduva
common_voice_pt_34943208|Que perdia ele, se...
common_voice_pt_34943209|Santa Rosa do Sul
common_voice_pt_34943210|O ensaio de hoje foi bastante produtivo
common_voice_pt_34943217|O hidratante move-o e as chuvas do leste.
common_voice_pt_34943218|Pirpirituba
common_voice_pt_34943220|Mangueirinha
common_voice_pt_34943221|Há uma caravana saindo hoje para o deserto.
common_voice_pt_34943223|É uma boa ideia!
common_voice_pt_34943231|São Joaquim
common_voice_pt_34943232|Eu segui ele.
common_voice_pt_34943233|Quando junho entrar, pegue a foice e limpe a era.
common_voice_pt_34943234|A intenção era levar a narrativa de que "seria uma briga de bar"
common_voice_pt_34943235|O que ele não tem, ele não é.
common_voice_pt_34943258|Itápolis
common_voice_pt_34943260|Jequeri
common_voice_pt_34943261|Granito
common_voice_pt_34943263|Cada olho tem seu próprio malar.
common_voice_pt_34943264|Santa Cruz da Baixa Verde
common_voice_pt_34943266|Granjeiro
common_voice_pt_34943267|Taboleiro Grande
common_voice_pt_34943268|Tal qual ocorreu na comissão de inquérito
common_voice_pt_34943269|Não há ninguém mais do que nós e eles têm o barco mimado.
common_voice_pt_34943270|E assim eles foram embora.
